IB3,IH1,IB2,IH2,IB1,IH3,IB4,IH4,IB5,confusion,careless_1,careless_2,careless_3,technical_problems,native_language,Q_Lang,religion_text,religion_1,religion_2,religion_3,religion_4,religion_5,religion_6,religion_7,religion_8,religion_9,religion_10,religion_11,religion_12,religion_13,religion_14,religion_15,religion_16,education_leve,education_level_iran,education_level_germ,age_1,sex,countr_origin_1,country3,Age
2,1,3,2,6,2,2,1,4,1,2,2,1,1,1,EN,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Doctoral degree,NA,NA,18,Male,226,ARE,35
6,1,7,1,7,5,6,2,7,1,2,2,1,1,2,EN,--,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,5,Male,203,MYS,22
4,3,2,5,4,5,1,2,3,1,2,2,1,1,1,EN,--,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Female,131,MYS,19
4,3,5,5,6,4,4,4,3,2,2,2,1,1,2,EN,--,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,4,Female,131,MYS,21
3,5,5,6,4,5,2,4,5,1,2,2,1,1,1,EN,--/--,NA,NA,NA,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Female,131,MYS,19
1,3,3,4,2,2,2,1,3,3,2,2,1,1,1,EN,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Female,131,MYS,20
4,3,5,5,6,6,2,3,5,1,2,2,1,2,1,EN,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,4,Female,131,MYS,21
6,2,5,2,5,2,2,1,2,1,2,2,1,1,1,EN,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,5,Female,195,MYS,22
5,5,4,4,5,5,3,5,5,3,2,2,1,1,2,EN,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Bachelor's degree,NA,NA,4,I wish not to answer,97,CHN,21
3,2,3,4,6,4,5,5,2,2,2,2,1,1,1,EN,--,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Female,131,MYS,20
