IB1,IB2,IB3,IB4,IB5,IH1,IH2,IH3,IH4,lang,education_level,sex,country_origin,country,age,continent
6,3,2,2,4,1,2,2,1,1,Doctoral degree,Male,226.0,ARE,35.0,Asia
4,2,4,1,3,3,5,5,2,1,High school,Female,131.0,MYS,19.0,Asia
4,5,3,2,5,5,6,5,4,1,High school,Female,131.0,MYS,19.0,Asia
5,5,6,2,2,2,2,2,1,1,High school,Female,195.0,MYS,22.0,Asia
6,3,3,5,2,2,4,4,5,1,High school,Female,131.0,MYS,20.0,Asia
5,5,6,7,7,2,3,2,2,1,High school,Female,195.0,MYS,19.0,Asia
6,7,2,7,7,2,5,6,3,1,High school,Female,100.0,MYS,19.0,Asia
7,6,5,6,6,5,2,4,2,1,Bachelor's degree,Female,100.0,MYS,19.0,Asia
4,3,4,5,4,2,1,3,2,1,Bachelor's degree,Female,131.0,MYS,22.0,Asia
3,2,5,4,1,7,6,7,7,1,Bachelor's degree,Female,131.0,MYS,20.0,Asia
2,5,3,3,6,5,5,5,6,1,Bachelor's degree,Male,131.0,MYS,18.0,Asia
4,5,4,5,3,3,5,3,4,1,Bachelor's degree,Female,131.0,MYS,22.0,Asia
5,5,4,5,2,4,5,4,4,1,Bachelor's degree,Female,131.0,MYS,24.0,Asia
3,5,5,2,3,5,5,2,4,1,Master's degree,Male,100.0,IND,27.0,Asia
3,5,6,3,4,2,4,5,5,1,Bachelor's degree,Female,100.0,IND,27.0,Asia
7,6,5,6,1,1,1,4,1,1,Master's degree,Male,100.0,IND,23.0,Asia
7,6,3,2,6,1,5,6,3,1,Bachelor's degree,Male,100.0,IND,25.0,Asia
3,2,6,5,2,3,6,5,5,1,Bachelor's degree,Male,100.0,IND,26.0,Asia
7,4,5,2,4,1,1,1,1,1,Bachelor's degree,Female,100.0,IND,25.0,Asia
1,1,1,1,7,1,1,1,7,1,Master's degree,Male,100.0,IND,24.0,Asia
6,6,6,6,2,2,2,2,2,1,Master's degree,Female,100.0,IND,25.0,Asia
6,7,7,5,7,6,7,7,6,1,High school,Female,100.0,MYS,19.0,Asia
6,6,5,4,6,5,6,2,4,1,Master's degree,Male,100.0,IND,24.0,Asia
3,6,4,2,2,1,6,7,2,1,Master's degree,Male,100.0,IND,27.0,Asia
7,5,2,5,6,1,4,2,4,1,Bachelor's degree,Female,131.0,MYS,20.0,Asia
2,2,1,2,3,5,4,1,4,1,Bachelor's degree,Female,100.0,IND,24.0,Asia
4,5,4,4,5,5,3,6,6,1,Bachelor's degree,Female,131.0,MYS,22.0,Asia
5,6,5,2,5,2,5,3,2,1,Bachelor's degree,Female,131.0,MYS,18.0,Asia
7,4,4,5,5,6,4,4,5,1,Master's degree,Male,100.0,IND,26.0,Asia
3,6,3,2,5,1,4,4,1,1,Master's degree,Male,100.0,IND,25.0,Asia
1,1,1,2,1,2,1,5,2,1,Bachelor's degree,Male,100.0,IND,26.0,Asia
5,6,5,2,4,1,4,6,4,1,Bachelor's degree,Female,131.0,MYS,22.0,Asia
2,1,4,1,5,2,5,4,3,1,Bachelor's degree,Male,100.0,IND,25.0,Asia
5,4,5,6,3,1,5,3,3,1,Master's degree,Female,100.0,IND,22.0,Asia
3,7,2,5,5,3,5,1,3,1,Bachelor's degree,Female,64.0,MYS,19.0,Asia
4,6,4,2,5,5,6,3,5,1,Bachelor's degree,Male,100.0,IND,27.0,Asia
6,1,1,7,4,1,7,4,7,1,Master's degree,Male,100.0,IND,27.0,Asia
5,4,5,5,6,2,5,4,4,1,Bachelor's degree,Female,131.0,MYS,22.0,Asia
5,7,5,5,3,7,7,7,6,1,Master's degree,Male,100.0,IND,24.0,Asia
6,4,4,4,6,7,7,5,5,1,Master's degree,Male,100.0,IND,24.0,Asia
2,1,1,2,1,1,5,4,2,1,Bachelor's degree,Male,100.0,IND,26.0,Asia
6,6,2,2,4,1,4,6,1,1,Master's degree,Male,100.0,IND,26.0,Asia
7,7,7,7,7,1,1,1,1,1,Master's degree,Male,100.0,IND,28.0,Asia
6,6,3,6,6,5,2,5,3,1,Bachelor's degree,Female,131.0,MYS,21.0,Asia
3,4,2,2,6,3,1,5,3,1,Bachelor's degree,Female,165.0,MYS,20.0,Asia
6,6,6,1,6,1,4,6,2,1,High school,Male,131.0,MYS,19.0,Asia
5,3,3,2,5,5,5,3,5,1,High school,Female,101.0,MYS,19.0,Asia
3,4,1,4,5,2,6,6,3,1,Bachelor's degree,Male,100.0,IND,25.0,Asia
4,5,6,1,5,3,5,5,4,1,High school,Male,101.0,MYS,20.0,Asia
4,4,5,3,2,5,2,3,3,1,High school,Male,100.0,MYS,19.0,Asia
5,7,5,5,5,2,2,4,4,1,Master's degree,Female,100.0,IND,27.0,Asia
5,5,5,2,2,5,5,6,5,1,Master's degree,Male,100.0,IND,24.0,Asia
6,3,1,2,4,3,4,4,3,1,High school,Female,131.0,MYS,19.0,Asia
7,6,6,5,5,1,5,1,1,1,High school,Female,165.0,MYS,20.0,Asia
5,2,5,5,4,4,1,4,3,1,Bachelor's degree,Female,120.0,LBN,20.0,Asia
